curvature_1_per_m,moment_kN_m
-0.06446120845287821,-3813.7765952396308
-0.06592117442570278,-3878.395638557817
-0.067315757680033,-3939.3505684113898
-0.06864357502381963,-3996.6958365688097
-0.06990330948556822,-4050.484412667722
-0.07109371162055324,-4100.767379991838
-0.07221360075005703,-4147.59360204343
-0.07326186613240458,-4191.009451573354
-0.07423746806463248,-4231.058594051026
-0.0751394389136995,-4267.7818179896185
-0.07596688407621546,-4301.2169050523125
-0.07671898286573786,-4331.398533425328
-0.0773949893267545,-4358.358208529798
-0.07799423297454589,-4382.124215740001
-0.07851611946019342,-4402.721590366822
-0.07896013116007353,-4420.172100743236
-0.07932582768925325,-4434.494240807571
-0.07961284633827795,-4445.703229116726
-0.07982090243291823,-4453.811011734645
-0.0799497896165188,-4458.826266931924
-0.07999938005466964,-4460.75441010269
-0.07996962456199612,-4459.543071711209
-0.07986055265094275,-4455.099924805389
-0.0796722725025017,-4447.419595933074
-0.07940497085891556,-4436.492817443307
-0.0790589128384603,-4422.306435119618
-0.07863444167249264,-4404.843421013396
-0.07813197836502223,-4384.082893506575
-0.07755202127514645,-4360.00014725678
-0.07689514562276205,-4332.566696316755
-0.07616200291804372,-4301.750334372978
-0.07535332031525553,-4267.515216713584
-0.07446989989153634,-4229.821969207571
-0.07351261785137397,-4188.62783024697
-0.07248242365755786,-4143.886832258298
-0.07138033908947154,-4095.5500300112835
-0.07020745722965946,-4043.565783518483
-0.06896494137967281,-3987.8801037994817
-0.06765402390627004,-3928.4370701422413
-0.06627600501911654,-3865.1793276891444
-0.06483225148119492,-3798.048674156803
-0.06332419525320622,-3726.9867442114682
-0.061753332073305696,-3651.9357994045818
-0.060121219973582156,-3572.839630561585
-0.05842947773475203,-3489.644578046396
-0.056679783280601186,-3402.3006733317384
-0.05487387201376704,-3310.7629027372623
-0.05301353509451043,-3214.9925910121224
-0.051100617664186256,-3114.958898616383
-0.049137017015173465,-3010.640422103638
-0.04712468070908013,-2902.0268819708594
-0.04506560464508984,-2789.120876809493
-0.04296183108036525,-2671.9396767053613
-0.04081544660447297,-2550.517022791938
-0.038628580069836854,-2424.9048939181926
-0.03640340048027495,-2295.1751958619716
-0.034142114839712336,-2161.4213237627214
